"ID","AUTHOR","FILENAME","DATEEXECUTED","ORDEREXECUTED","EXECTYPE","MD5SUM","DESCRIPTION","COMMENTS","TAG","LIQUIBASE","CONTEXTS","LABELS","DEPLOYMENT_ID"
"1","copilot","src/main/resources/db/changelog/db.changelog-1.0.xml","2025-10-10T13:41:31.238","1","EXECUTED","9:f1fa75fa317f19c0c0135a3afee3b3b9","createTable tableName=sender_queue","","","4.24.0","()","",""
"3","copilot","src/main/resources/db/changelog/db.changelog-1.0.xml","2025-10-10T13:41:31.256","2","EXECUTED","9:444833f968fe47950055d66f6ca7fcb8","addUniqueConstraint constraintName=uk_sender_payload, tableName=sender_queue","","","4.24.0","()","",""
"2","copilot","src/main/resources/db/changelog/db.changelog-1.0.xml","2025-10-10T13:41:31.277","3","EXECUTED","9:6a4c94894ebe04b301d2e9b77589500e","createTable tableName=refresh_tokens; createIndex indexName=idx_refresh_token_token, tableName=refresh_tokens; createIndex indexName=idx_refresh_token_username, tableName=refresh_tokens","","","4.24.0","()","",""
"4","copilot","src/main/resources/db/changelog/db.changelog-1.0.xml","2025-10-10T13:41:31.312","4","EXECUTED","9:03285b2aa2c1ec3c43227cfa0830066c","createTable tableName=external_environment; createTable tableName=external_location; addForeignKeyConstraint baseTableName=external_location, constraintName=fk_env_loc_env, referencedTableName=external_environment; createIndex indexName=idx_loc_env, ta...","","","4.24.0","()","",""
"5","copilot","src/main/resources/db/changelog/db.changelog-1.0.xml","2025-10-10T13:41:31.327","5","EXECUTED","9:746f25098644b07fb5718afd8d2e0933","addColumn tableName=external_location","","","4.24.0","()","",""
"6","copilot","src/main/resources/db/changelog/db.changelog-1.0.xml","2025-10-10T13:41:31.349","6","EXECUTED","9:debb2eaefef1e4fae525373bc3979f74","sql","Backfill site column using first token of label (uppercase). Separate SQL for H2 and Oracle.","","4.24.0","()","",""
"6a-create-load-session","copilot","src/main/resources/db/changelog/db.changelog-1.0.xml","2025-10-10T13:41:31.373","7","EXECUTED","9:653f786aa279e9d4ca3c8e3d29d10c31","createTable tableName=load_session","","","4.24.0","()","",""
"6a-create-load-session-payload","copilot","src/main/resources/db/changelog/db.changelog-1.0.xml","2025-10-10T13:41:31.394","8","EXECUTED","9:6a31ca73869481410029b3e89fa00d8b","createTable tableName=load_session_payload","","","4.24.0","()","",""
"6a-add-fk-load-session-payload","copilot","src/main/resources/db/changelog/db.changelog-1.0.xml","2025-10-10T13:41:31.41","9","EXECUTED","9:0033234fe31b4fd78d31d71ab7d5b78d","addForeignKeyConstraint baseTableName=load_session_payload, constraintName=fk_lsp_session, referencedTableName=load_session","","","4.24.0","()","",""
"7","copilot","src/main/resources/db/changelog/db.changelog-1.0.xml","2025-10-10T13:41:31.423","10","EXECUTED","9:86b3746d23570f30653baf7099a1d007","addColumn tableName=load_session_payload","","","4.24.0","()","",""
"6b-oracle-sequences-triggers","copilot","src/main/resources/db/changelog/db.changelog-1.0.xml","2025-10-10T13:41:31.448","11","EXECUTED","9:dd1154e1a9d6485e095496ff30610fe0","createSequence sequenceName=seq_load_session; createSequence sequenceName=seq_load_session_payload; sql; sql","","","4.24.0","()","",""
"2025-09-27-1","copilot","src/main/resources/db/changelog/db.changelog-1.1-add-load-session-payload-remote-fields.xml","2025-10-10T13:41:31.467","12","EXECUTED","9:a140c883ceb9632ddc1fb19c215067ee","addColumn tableName=load_session_payload","","","4.24.0","()","",""
"2025-09-27-2","copilot","src/main/resources/db/changelog/db.changelog-1.1-add-load-session-payload-remote-fields.xml","2025-10-10T13:41:31.483","13","EXECUTED","9:40a8c561088b668676b7c31821b5e64b","createIndex indexName=idx_load_session_payload_session_status, tableName=load_session_payload","","","4.24.0","()","",""
"2025-10-04-1-dedupe-load-session-payload","copilot","src/main/resources/db/changelog/db.changelog-2.0-add-unique-session-payload.xml","2025-10-10T13:41:31.501","14","EXECUTED","9:2b7a83de95906477bc883e65c62b85c7","sql","Dedupe existing load_session_payload rows keeping lowest id per (session_id, payload_id)","","4.24.0","()","",""
"2025-10-04-2-add-global-payload-id","copilot","src/main/resources/db/changelog/db.changelog-2.0-add-unique-session-payload.xml","2025-10-10T13:41:31.517","15","EXECUTED","9:3189ca3b71e075d5bd64180790c0ddc3","addColumn tableName=load_session_payload","","","4.24.0","()","",""
"2025-10-04-3-add-unique-constraint-session-payload","copilot","src/main/resources/db/changelog/db.changelog-2.0-add-unique-session-payload.xml","2025-10-10T13:41:31.547","16","EXECUTED","9:c9174d02c692aa9a4212cbf1414945a0","addUniqueConstraint constraintName=uk_lsp_sess_pl, tableName=load_session_payload","","","4.24.0","()","",""
"6b-oracle-sequences-triggers-v2","copilot","src/main/resources/db/changelog/db.changelog-1.0.xml","2025-10-10T13:46:26.225","17","EXECUTED","9:b50d50849b2f49872dc70371eb942bd4","createSequence sequenceName=app_seq_load_session; createSequence sequenceName=app_seq_load_session_payload; sql; sql",,"","4.24.0","()","",
